time_s,device_ip,action,risk_score
7.000,10.0.60.2,WARNING,41.122
7.000,10.0.60.3,WARNING,41.120
7.000,10.0.60.4,WARNING,41.117
7.000,10.0.60.5,WARNING,41.115
7.000,10.0.60.6,WARNING,41.124
7.000,10.0.60.7,WARNING,41.119
7.000,10.0.60.8,WARNING,41.115
7.000,10.0.60.9,WARNING,41.118
27.000,10.0.60.2,RATE_LIMITED,58.040
27.000,10.0.60.3,RATE_LIMITED,58.039
27.000,10.0.60.4,RATE_LIMITED,58.037
27.000,10.0.60.5,RATE_LIMITED,58.036
27.000,10.0.60.6,RATE_LIMITED,58.041
27.000,10.0.60.7,RATE_LIMITED,58.039
27.000,10.0.60.8,RATE_LIMITED,58.036
27.000,10.0.60.9,RATE_LIMITED,58.038
34.000,10.0.50.2,WARNING,43.596
36.000,10.0.20.2,WARNING,41.044
37.000,10.0.50.2,RATE_LIMITED,58.603
51.000,10.0.20.2,RATE_LIMITED,55.053
52.000,10.0.20.2,WARNING,54.452
56.000,10.0.20.2,RATE_LIMITED,58.471
